gi_number,pmid
28525,2881207
28720,2893289
49842,1756177
55616,2900758
178539,3035574
178572,2893379
178613,2110105
178706,3810169
191568,3322280
252386,1353447
263150,1282805
342062,1905108
609448,2569763
1418675,9116031
1488343,8532114
2429080,9108164
3282748,9671674
7768703,10830953
9837544,16039787
12699289,11214319
12699291,11214319
12699293,11214319
12699295,11214319
12699297,11214319
12699299,11214319
12699301,11214319
12699303,11214319
12699305,11214319
12699307,11214319
12699309,11214319
12699311,11214319
12699313,11214319
12699315,11214319
12699317,11214319
12699319,11214319
12699321,11214319
12699323,11214319
12699325,11214319
12699327,11214319
12699329,11214319
12699331,11214319
12699333,11214319
12699335,11214319
12699337,11214319
12699339,11214319
12699341,11214319
12699343,11214319
12699345,11214319
12699347,11214319
12699349,11214319
12699351,11214319
12699353,11214319
12699355,11214319
12699357,11214319
12699359,11214319
12699361,11214319
12699363,11214319
12699365,11214319
12699367,11214319
12699369,11214319
12699371,11214319
12699373,11214319
12699375,11214319
12699377,11214319
12699379,11214319
12699381,11214319
12699383,11214319
12699385,11214319
12699387,11214319
12699389,11214319
12699391,11214319
12699393,11214319
12699395,11214319
12699397,11214319
12699399,11214319
12699401,11214319
12699403,11214319
12699405,11214319
12699407,11214319
12699409,11214319
12699411,11214319
13325111,12477932
13529547,12477932
13751234,11744158
21165900,11743200
21165902,11743200
21165903,11743200
26342680,10349636
26342680,11042159
26342680,11076861
26342680,11217851
26342680,12466851
26342680,16141072
26342680,16141073
26345435,10349636
26345435,11042159
26345435,11076861
26345435,11217851
26345435,12466851
26345435,16141072
26345435,16141073
27436860,1331676
27436860,1673681
27436860,2648331
27436860,2900758
27436860,2968652
27436860,17460216
27436860,17468104
27436860,17929129
27436860,18007179
27436860,18077683
27881722,12454917
27881722,12477932
33339673,12859342
38142441,15164055
38303888,12477932
39645179,12477932
41350936,12477932
41350938,12477932
45383529,9671674
45383529,15208260
45383529,16039787
45549415,15190349
47271503,561759
47271503,1349171
47271503,1555768
47271503,1560239
47271503,1671712
47271503,17884188
47271503,17916337
47271503,17920016
47271503,17952859
47271503,17988898
47523799,1656157
47523799,15202933
47523799,16934345
47523799,17335780
54633335,1656157
54633335,11214319
54633335,16775693
56547934,15681385
56547936,15681385
56547938,15681385
56547940,15681385
56547942,15681385
56547943,15681385
56547945,15681385
56547947,15681385
56547949,15681385
56547951,15681385
56547953,15681385
56547955,15681385
56547957,15681385
56547963,15681385
56547965,15681385
56547967,15681385
56547969,15681385
56547971,15681385
56547973,15681385
56547974,15681385
56547976,15681385
56547978,15681385
56548643,16624502
61316398,15620360
67971129,15944441
74183484,10349636
74183484,11042159
74183484,11076861
74183484,11217851
74183484,12466851
74183484,16141072
74183484,16141073
74184772,10349636
74184772,11042159
74184772,11076861
74184772,11217851
74184772,12466851
74184772,16141072
74184772,16141073
74187366,10349636
74187366,11042159
74187366,11076861
74187366,11217851
74187366,12466851
74187366,16141072
74187366,16141073
74192833,10349636
74192833,11042159
74192833,11076861
74192833,11217851
74192833,12466851
74192833,16141072
74192833,16141073
74196905,10349636
74196905,11042159
74196905,11076861
74196905,11217851
74196905,12466851
74196905,16141072
74196905,16141073
74198290,10349636
74198290,11042159
74198290,11076861
74198290,11217851
74198290,12466851
74198290,16141072
74198290,16141073
74203929,10349636
74203929,11042159
74203929,11076861
74203929,11217851
74203929,12466851
74203929,16141072
74203929,16141073
74213468,10349636
74213468,11042159
74213468,11076861
74213468,11217851
74213468,12466851
74213468,16141072
74213468,16141073
74227351,10349636
74227351,11042159
74227351,11076861
74227351,11217851
74227351,12466851
74227351,16141072
74227351,16141073
78068300,16400146
78068301,16400146
78068302,16400146
78068303,16400146
78068304,16400146
78068305,16400146
78068306,16400146
78068307,16400146
78068308,16400146
78068309,16400146
78068310,16400146
78068311,16400146
78068312,16400146
78068313,16400146
78068314,16400146
78068315,16400146
78068316,16400146
78068317,16400146
78068318,16400146
78068319,16400146
78068320,16400146
78068321,16400146
78068322,16400146
78068323,16400146
78068324,16400146
78068325,16400146
78068326,16400146
78068327,16400146
78068328,16400146
78068329,16400146
78068330,16400146
78068331,16400146
78068332,16400146
78068333,16400146
78068334,16400146
78068335,16400146
78068336,16400146
78068337,16400146
78068338,16400146
78068339,16400146
78068340,16400146
78068341,16400146
78068342,16400146
78068343,16400146
82542242,16934345
82542244,16934345
90075999,17194215
90076345,17194215
115546325,14681463
115547791,14681463
115554700,14681463
116003812,1656157
116003812,10594237
116003812,14709559
140429342,17449895
146147438,12477932
147901010,11744158
147901010,12454917
148236702,11744158
148236702,12454917
148236702,15208260
148236702,17270477
159503043,17975064
159503045,17975064
